序号,技能名,工作设施,产物限定,干员,需求精英,效率值,游戏原文
371,线索搜集·β,会客室,,忍冬,精2,20,进驻会客室时，线索搜集速度提升20%
372,线索搜集·β,会客室,,行箸,精2,20,进驻会客室时，线索搜集速度提升20%
373,显眼的调查者,会客室,,U-Official,精0,,进驻会客室时，更容易获得线索板上已经拥有的线索
374,情报专家,会客室,,双月,精2,5,进驻会客室时，线索搜集速度提升5%，同时每1点情报储备额外提升5%
375,饱餐的干劲,会客室,,莱欧斯,精2,,进驻会客室时，每拥有1点魔物料理，线索搜集速度额外提升2%
376,扶危行侠,会客室,,赤刃明霄陈,精2,20,进驻会客室时，线索搜集速度提升20%，同时每10点人间烟火额外提升1%
377,得心应手,会客室,,风丸,精2,,进驻会客室时，如果会客室内只有自身处于工作状态时，线索搜集速度提升35%
378,不泯童心,会客室,,信仰搅拌机,精2,,进驻会客室时，如果菲亚梅塔进驻在宿舍，则线索搜集速度额外提升10%
379,聚影,会客室,,伊内丝,精2,20,进驻会客室时，线索搜集速度提升20%，此后每小时提升2%，最终达到30%
380,眼观六路,会客室,,骋风,精1,,进驻会客室时，处于线索交流时更容易获得线索板上尚未拥有的线索
381,不容遗漏·α,会客室,,晓歌,精0,,进驻会客室时，更容易获得线索板上尚未拥有的线索
382,情报分析,会客室,,谜图,精2,,进驻会客室时，更容易获得线索板上尚未拥有的线索
383,见微知著,会客室,,松桐,精2,,进驻会客室时，更容易获得线索板上尚未拥有的线索
384,萍踪浪迹,会客室,,赤刃明霄陈,精0,,进驻会客室时，更容易获得线索板上尚未拥有的线索
385,不容遗漏·β,会客室,,晓歌,精2,10,进驻会客室时，线索搜集速度提升10%，且更容易获得线索板上尚未拥有的线索
386,交个朋友,会客室,,哈洛德,精2,,进驻会客室时，提升会客室内另一干员所属派系的线索倾向效果（如会客室没有另一干员则不提升）
387,皇家探员（自称）,会客室,,梅,精1,,进驻会客室时，更容易获得企鹅物流线索（工作时长影响概率）
388,秘密搜查,会客室,,苦艾,精0,,进驻会客室时，更容易获得乌萨斯学生自治团线索（工作时长影响概率）
389,通讯员,会客室,,极境,精0,,进驻会客室时，更容易获得罗德岛制药线索（工作时长影响概率）
390,风声,会客室,,夏栎,精0,,进驻会客室时，更容易获得格拉斯哥帮线索（工作时长影响概率）
391,晨曦,发电站,,承曦格雷伊,精2,,进驻发电站时，如果其他发电站内没有进驻作业平台，则发电站额外+1(仅影响设施数量)
392,“滴滴，启动！”,发电站,,正义骑士号,精0,,进驻发电站时，野鬃所在的制造站生产力+5%
393,巡线框架,发电站,,承曦格雷伊,精0,,进驻发电站时，每10架无人机上限+1%无人机充能速度（最多+25%）
394,生态科主任,发电站,,缪尔赛思,精2,10,进驻发电站时，无人机充能速度+10%，基建内（不包含副手及活动室使用者）每有1名除自身以外的莱茵生命干员（最多5名），充能速度额外+3%
395,技术交流·α,发电站,,空构,精0,10,进驻发电站时，无人机充能速度首小时+10%，此后每小时+1%，最终达到+15%
396,技术交流·β,发电站,,空构,精2,15,进驻发电站时，无人机充能速度首小时+15%，此后每小时+1%，最终达到+20%
397,热情澎湃,发电站,,THRM-EX,精0,,进驻发电站时，心情每小时消耗-0.52
398,外卖水果挞,发电站,,空构,精0,,进驻发电站时，心情每小时消耗-0.3
399,灵河共鸣,发电站,,菲莱,精2,,进驻发电站时，每间宿舍每级为充能速度额外+0.5%
400,备用能源,发电站,,Castle-3；Friston-3；Lancet-2；THRM-EX；正义骑士号,精0,10,进驻发电站时，无人机充能速度+10%
401,鸡电工程,发电站,,GALLUS²,精0,10,进驻发电站时，无人机充能速度+10%
402,热能充能·α,发电站,,伊芙利特；炎熔；煌,精0,10,进驻发电站时，无人机充能速度+10%
403,光能充能·α,发电站,,深靛,精0,10,进驻发电站时，无人机充能速度+10%
404,电磁充能·α,发电站,,异客；格劳克斯；澄闪,精0,10,进驻发电站时，无人机充能速度+10%
405,挽歌充能·α,发电站,,PhonoR-0,精0,10,进驻发电站时，无人机充能速度+10%
406,灵河充能·α,发电站,,菲莱,精0,10,进驻发电站时，无人机充能速度+10%
407,充能中,发电站,,CONFESS-47,精0,10,进驻发电站时，无人机充能速度+10%
408,雷法专精,发电站,,司霆惊蛰,精0,10,进驻发电站时，无人机充能速度+10%
409,澎湃紊流,发电站,,协律,精0,10,进驻发电站时，无人机充能速度+10%
410,澎湃紊流,发电站,,协律,精1,15,进驻发电站时，无人机充能速度+15%
411,设备维护,发电站,,布丁；阿消,精0；精1,15,进驻发电站时，无人机充能速度+15%
412,清洁能源,发电站,,清流,精0,15,进驻发电站时，无人机充能速度+15%
413,高热充能,发电站,,伊芙利特,精2,15,进驻发电站时，无人机充能速度+15%
414,脉冲电弧·α,发电站,,雷蛇,精0,15,进驻发电站时，无人机充能速度+15%
415,电磁充能·β,发电站,,格劳克斯,精2,15,进驻发电站时，无人机充能速度+15%
416,聚能,发电站,,异客,精2,15,进驻发电站时，无人机充能速度+15%
417,灯塔供能模块,发电站,,深靛,精1,15,进驻发电站时，无人机充能速度+15%
418,静电场,发电站,,格雷伊,精0,20,进驻发电站时，无人机充能速度+20%
419,脉冲电弧·β,发电站,,雷蛇,精2,20,进驻发电站时，无人机充能速度+20%
420,热能充能·γ,发电站,,炎狱炎熔,精2,20,进驻发电站时，无人机充能速度+20%
421,电荷释放,发电站,,澄闪,精2,20,进驻发电站时，无人机充能速度+20%
422,合法窃电,发电站,,天空盒,精2,20,进驻发电站时，无人机充能速度+20%
423,穹顶物流管理·α,发电站,,海霓,精0,15,进驻发电站时，无人机充能速度+15%
424,穹顶物流管理·β,发电站,,海霓,精2,20,进驻发电站时，无人机充能速度+20%
425,热能充能·γ,发电站,,烛煌,精2,20,进驻发电站时，无人机充能速度+20%
426,“愉快的对谈”,发电站,,Friston-3,精0,,进驻发电站时，如果凯尔希进驻在控制中枢，则无人机充能速度+5%
427,咒文共鸣,发电站,,PhonoR-0,精0,,进驻发电站时，如果逻各斯进驻在训练室协助位，则无人机充能速度+5%
428,维护中,发电站,,CONFESS-47,精0,,进驻发电站时，如果其他拉特兰干员进驻在发电站，则无人机充能速度+5%
429,鸡励机制,发电站,,GALLUS²,精0,,进驻发电站时，如果其他作业平台进驻在发电站，则无人机充能速度+5%
430,跋山涉水,贸易站,,铎铃,精0,,进驻贸易站时，贸易站内全体干员每小时心情消耗-0.1，每有10点人间烟火，则额外-0.01
431,万里传书,贸易站,,铎铃,精2,,进驻贸易站时，贸易站内全体干员每小时心情消耗-0.1，每有10点人间烟火，则额外-0.02
432,暖场,贸易站,,火哨,精0,,进驻贸易站时，贸易站内干员心情每小时消耗-0.1
433,违约索赔·α,贸易站,,但书,精0,,进驻贸易站时，如果下笔赤金订单是违约订单，则赤金交付数额外+1
434,违约索赔·β,贸易站,,但书,精2,,进驻贸易站时，如果下笔赤金订单是违约订单，则赤金交付数额外+2
435,特别订单,贸易站,,可露希尔,精2,10,进驻贸易站时，订单获取效率+10%，固定获取可露希尔特别订单（不视作违约订单）
436,合同法,贸易站,,但书,精0,,进驻贸易站时，如果下笔赤金订单交付数小于4，则视为违约订单
437,谈判,贸易站,,史都华德；暗索；桃金娘,精0；精1,,进驻贸易站时，订单上限+5，心情每小时消耗-0.25
438,醉翁之意·α,贸易站,,拉普兰德,精0,,当与德克萨斯在同一个贸易站时，心情每小时消耗-0.1，订单上限+2
439,醉翁之意·β,贸易站,,拉普兰德,精2,,当与德克萨斯在同一个贸易站时，心情每小时消耗-0.1，订单上限+4
440,默契,贸易站,,德克萨斯,精2,,当与能天使在同一个贸易站时，心情每小时消耗-0.3
441,未偿还的债务,贸易站,,贝洛内,精0,,当与伺夜在同一个贸易站时，心情每小时消耗-0.1，订单上限+2
442,多面逢源,贸易站,,佩佩,精0,,进驻贸易站时，当前贸易站每级+1个订单上限
443,钱不我待,贸易站,,瑰盐,精0,,进驻贸易站时，当前贸易站每级+1个订单上限
444,市井之道,贸易站,,孑,精1,,进驻贸易站时，当前贸易站内其他干员提供的每10%订单获取效率使订单上限-1（订单最少为1），同时每有1笔订单就+4%订单获取效率（与部分技能有特殊叠加规则）
445,摊贩经济,贸易站,,孑,精0,,进驻贸易站时，当前订单数与订单上限每差1笔订单，则订单获取效率+4%
446,际崖居民,贸易站,,鸿雪,精2,,进驻贸易站时，基建内（不包含副手及活动室使用者）每1名杜林族干员（最多4名）为当前贸易站提供1条赤金生产线
447,订单流可视化·α,贸易站,,绮良,精0,5,进驻贸易站时，订单获取效率+5%，每有4条赤金生产线，则为当前贸易站额外提供2条赤金生产线
448,订单流可视化·β,贸易站,,绮良,精2,5,进驻贸易站时，订单获取效率+5%，每有2条赤金生产线，则为当前贸易站额外提供2条赤金生产线
449,投资·α,贸易站,,龙舌兰,精0,,进驻贸易站后，如果下笔赤金订单交付数大于3（违约订单不视作赤金订单），则其龙门币收益+250，心情每小时消耗-0.25
450,投资·β,贸易站,,龙舌兰,精2,,进驻贸易站后，如果下笔赤金订单交付数大于3（违约订单不视作赤金订单），则其龙门币收益+500，心情每小时消耗-0.25
451,白手起家·α,贸易站,,赫德雷,精0,25,进驻贸易站时，订单获取效率+25%；当伊内丝入驻工作场所时（不包含副手），订单获取效率额外+5%
452,白手起家·β,贸易站,,赫德雷,精2,30,进驻贸易站时，订单获取效率+30%；当伊内丝、W入驻工作场所时（不包含副手），订单获取效率分别额外+5%
453,慧眼独到,贸易站,,佩佩,精2,,进驻贸易站时，固定获取特别独占订单（不视作违约订单），且该类订单不受任何订单获取效率的影响
454,交际,贸易站,,古米；月见夜；空爆,精0,30,进驻贸易站时，订单获取效率+30%，心情每小时消耗-0.25
455,恩怨,贸易站,,德克萨斯,精0,,当与拉普兰德在同一个贸易站时，心情每小时消耗+0.3，订单获取效率+65%
456,虔诚筹款·α,贸易站,,空弦,精0,,进驻贸易站时，每间宿舍每级+1%获取效率
457,虔诚筹款·β,贸易站,,空弦,精2,,进驻贸易站时，每间宿舍每级+2%获取效率
458,精准排期,贸易站,,石英,精1,30,进驻贸易站时，订单获取效率+30%，制造站每有1类配方进行加工，则当前贸易站订单获取效率额外+2%
459,物流规划·α,贸易站,,图耶,精0,5,进驻贸易站时，订单获取效率+5%，每有4条赤金生产线，则当前贸易站订单获取效率额外+15%
460,物流规划·β,贸易站,,图耶,精2,5,进驻贸易站时，订单获取效率+5%，每有2条赤金生产线，则当前贸易站订单获取效率额外+15%
461,销路宣发,贸易站,,鸿雪,精0,,进驻贸易站时，每有1条赤金生产线，则当前贸易站订单获取效率+5%
462,可爱的艾露猫,贸易站,,泰拉大陆调查团,精0,5,进驻贸易站时，订单获取效率+5%，且订单上限+2，同时每有1个木天蓼，则订单获取效率+3%
463,订单管理·α,贸易站,,四月；翎羽；黑角,精0；精1,10,进驻贸易站时，订单获取效率+10%，且订单上限+2
464,订单管理·β,贸易站,,四月；涤火杰西卡,精0；精2,10,进驻贸易站时，订单获取效率+10%，且订单上限+4
465,供应管理,贸易站,,梓兰；玫兰莎；远山,精0；精1,25,进驻贸易站时，订单获取效率+25%，且订单上限+1
466,喀兰贸易·α,贸易站,,角峰；讯使；银灰,精0,15,进驻贸易站时，订单获取效率+15%，且订单上限+2
467,喀兰贸易·β,贸易站,,崖心,精2,15,进驻贸易站时，订单获取效率+15%，且订单上限+4
468,喀兰之主,贸易站,,银灰,精2,20,进驻贸易站时，订单获取效率+20%，且订单上限+4
469,企鹅物流·α,贸易站,,可颂,精0,20,进驻贸易站时，订单获取效率+20%
470,使命必达,贸易站,,可颂,精2,30,进驻贸易站时，订单获取效率+30%，且订单上限+1
471,峯驰物流,贸易站,,拜松,精0,20,进驻贸易站时，订单获取效率+20%
472,少当家,贸易站,,拜松,精2,30,进驻贸易站时，订单获取效率+30%，且订单上限+1
473,订单分发·α,贸易站,,衡沙,精0,20,进驻贸易站时，订单获取效率+20%
474,大巴扎管理学,贸易站,,衡沙,精2,30,进驻贸易站时，订单获取效率+30%，且订单上限+1
475,半身人公会代表,贸易站,,齐尔查克,精0,30,进驻贸易站时，订单获取效率+30%，且订单上限+1
476,威压,贸易站,,锏,精0,20,进驻贸易站时，订单获取效率+20%，且订单上限-2（订单最少为1）
477,不怒自威,贸易站,,锏,精2,25,进驻贸易站时，订单获取效率+25%，且订单上限-6（订单最少为1）
478,新城贸易,贸易站,,伺夜,精2,25,进驻贸易站时，订单获取效率+25%，会客室每级额外提供5%获取效率，最多提供40%效率
479,天生的顾问,贸易站,,渡桥,精2,15,进驻贸易站时，订单获取效率+15%，会客室每级额外提供5%获取效率，最多提供30%效率
480,订单分发·α,贸易站,,蕾缪安,精0,20,进驻贸易站时，订单获取效率+20%
481,相伴,贸易站,,蕾缪安,精2,20,进驻贸易站时，订单获取效率+20%；当与能天使在同一个贸易站时，订单获取效率额外+25%
482,外贸决议·α,贸易站,,维娜·维多利亚,精0,30,进驻贸易站时，订单获取效率+30%
483,外贸决议·β,贸易站,,维娜·维多利亚,精2,30,进驻贸易站时，订单获取效率+30%；当前贸易站内存在格拉斯哥帮干员时，订单获取效率额外+10%
484,代为说项,贸易站,,火哨,精2,,进驻贸易站时，贸易站内除自身以外每名处于工作状态的干员+15%订单获取效率
485,勤俭经营·α,贸易站,,吉星,精0,,进驻贸易站时，贸易站内除自身以外每名处于工作状态的干员+10%订单获取效率
486,勤俭经营·β,贸易站,,吉星,精2,,进驻贸易站时，贸易站内除自身以外每名处于工作状态的干员+20%订单获取效率
487,订单分发·α,贸易站,,真言,精0,20,进驻贸易站时，订单获取效率+20%
488,精英小队,贸易站,,真言,精2,25,进驻贸易站时，订单获取效率+25%，基建内（不包含副手及活动室）每有一间进驻精英干员的设施，订单获取效率额外+2%（最多10间）
489,“孺子可教！”,贸易站,,风絮,精2,,进驻贸易站时，基建内（不包含副手及活动室）每有一间进驻岁干员的设施，订单获取效率+4%（最多5间）
490,天真的谈判者,贸易站,,U-Official,精0,10,进驻贸易站时，订单获取效率+10%，当前贸易站赤金订单的赤金交付数必定为2（不视作违约订单）
491,订单分发·α,贸易站,,安德切尔；海蒂；深海色；琳琅诗怀雅；蛇屠箱；风絮；香草,精0；精1,20,进驻贸易站时，订单获取效率+20%
492,订单分发·β,贸易站,,夜刀；夜烟；安比尔；慕斯；缠丸；芬,精0；精1,30,进驻贸易站时，订单获取效率+30%
493,企鹅物流·α,贸易站,,能天使,精0,20,进驻贸易站时，订单获取效率+20%
494,企鹅物流·β,贸易站,,空,精2,30,进驻贸易站时，订单获取效率+30%
495,物流专家,贸易站,,能天使,精2,35,进驻贸易站时，订单获取效率+35%
496,名流欢会,贸易站,,海蒂,精2,35,进驻贸易站时，订单获取效率+35%
497,订单分发·β,贸易站,,瑰盐,精2,30,进驻贸易站时，订单获取效率+30%
498,徘徊旋律,贸易站,,黑键,精0,,进驻贸易站时，每4点无声共鸣+1%订单效率
499,怅惘和声,贸易站,,黑键,精2,,进驻贸易站时，每2点无声共鸣+1%订单效率
500,熟悉的味道,贸易站,,齐尔查克,精2,,进驻贸易站时，每1点魔物料理+1%订单效率
501,乐感,贸易站,,黑键,精0,,进驻贸易站时，宿舍内每有1名干员则感知信息+1，同时每1点感知信息转化为1点无声共鸣
502,“愿者上钩”,贸易站,,乌有,精2,,进驻贸易站时，宿舍内每有1名干员则人间烟火+1，同时每有1点人间烟火，则订单获取效率+1%
503,对陆接洽代表·α,贸易站,,深巡,精0,25,进驻贸易站时，订单获取效率+25%；当乌尔比安在基建内时（不包含副手及活动室使用者），订单获取效率额外+5%
504,对陆接洽代表·β,贸易站,,深巡,精2,30,进驻贸易站时，订单获取效率+30%；当乌尔比安在基建内时（不包含副手及活动室使用者），订单获取效率额外+10%
505,家族经营·α,贸易站,,贝洛内,精0,25,进驻贸易站时，订单获取效率+25%；当伺夜在基建内时（不包含副手及活动室使用者），订单获取效率额外+5%
506,家族经营·β,贸易站,,贝洛内,精2,30,进驻贸易站时，订单获取效率+30%；当伺夜在基建内时（不包含副手及活动室使用者），订单获取效率额外+10%
507,帮派指南针,贸易站,,摩根,精2,,进驻贸易站时，同个贸易站中每有1名格拉斯哥帮干员，当前贸易站订单获取效率+20%；当与推进之王在同一个贸易站时，订单获取效率额外+35%
508,同城加急单,贸易站,,新约能天使,精2,,进驻贸易站时，同个贸易站中每有1名拉特兰干员，当前贸易站订单获取效率+15%
509,天道酬勤·α,贸易站,,雪雉,精0,,进驻贸易站时，当前贸易站内干员提供的每5%订单获取效率，额外提供5%效率，最多提供25%效率
510,天道酬勤·β,贸易站,,雪雉,精2,,进驻贸易站时，当前贸易站内干员提供的每5%订单获取效率，额外提供5%效率，最多提供35%效率
511,冠军风采,贸易站,,锏,精2,,进驻贸易站时，当前贸易站内干员提升的每5个订单上限，提供25%订单获取效率，最多提供100%效率
512,招商引资,贸易站,,琳琅诗怀雅,精2,,进驻贸易站时，当前贸易站内干员提升的每个订单上限，提供4%订单获取效率
513,低语,贸易站,,巫恋,精2,,进驻贸易站时，当前贸易站内其他干员提供的订单获取效率全部归零，且每人为自身+45%订单获取效率，同时全体心情每小时消耗+0.25
514,裁缝·α,贸易站,,巫恋；明椒；柏喙；贝娜,精0；精2,,进驻贸易站时，小幅提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25
515,手工艺品·α,贸易站,,卡夫卡,精0,,进驻贸易站时，小幅提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25
516,鉴定师的眼光,贸易站,,折光,精0,,进驻贸易站时，小幅提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25
517,懂行,贸易站,,渡桥,精0,,进驻贸易站时，小幅提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25
518,裁缝·β,贸易站,,明椒；柏喙,精2,,进驻贸易站时，提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25
519,手工艺品·β,贸易站,,卡夫卡,精2,,进驻贸易站时，提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25
520,鉴定师的手段,贸易站,,折光,精2,,进驻贸易站时，提升当前贸易站高品质贵金属订单的出现概率（工作时长影响概率），心情每小时消耗-0.25
521,工作狂,训练室,SNIPER,假日威龙陈,精2,,进驻训练室协助狙击干员训练专精技能至1级时，心情每小时消耗+1
522,过量训练,训练室,WARRIOR,百炼嘉维尔,精2,,进驻训练室协助近卫干员训练专精技能至3级时，心情每小时消耗+1
523,索然无味,训练室,SNIPER,W,精2,,进驻训练室协助狙击干员训练专精技能至3级时，心情每小时消耗+1
524,何须解脱,训练室,CASTER,死芒,精2,,进驻训练室协助术师干员训练专精技能至3级时，心情每小时消耗+1
525,变异,训练室,SUPPORT,浊心斯卡蒂,精2,,进驻训练室协助辅助干员训练专精技能至3级时，心情每小时消耗+1
526,斗争渴望,训练室,SPECIAL,归溟幽灵鲨,精2,,进驻训练室协助特种干员训练专精技能至3级时，心情每小时消耗+1
527,苦心孤诣,训练室,PIONEER；WARRIOR；TANK；SNIPER；CASTER；MEDIC；SUPPORT；SPECIAL,望,精2,,进驻训练室协助位时，如果本次训练专精技能至3级，专精技能训练速度+70%
528,先锋专精·α,训练室,PIONEER,夜半,精0,30,进驻训练室协助位时，先锋干员的专精技能训练速度+30%
529,近卫专精·α,训练室,WARRIOR,燧石；百炼嘉维尔；赤冬；铸铁,精0,30,进驻训练室协助位时，近卫干员的专精技能训练速度+30%
530,重装专精·α,训练室,TANK,暴雨；极光,精0,30,进驻训练室协助位时，重装干员的专精技能训练速度+30%
531,狙击专精·α,训练室,SNIPER,W；假日威龙陈；埃拉托；玫拉,精0,30,进驻训练室协助位时，狙击干员的专精技能训练速度+30%
532,术师专精·α,训练室,CASTER,薄绿,精0,30,进驻训练室协助位时，术师干员的专精技能训练速度+30%
533,术师专精·α,训练室,CASTER,死芒,精0,30,进驻训练室协助位时，术师干员的专精技能训练速度+30%
534,辅助专精·α,训练室,SUPPORT,浊心斯卡蒂,精0,30,进驻训练室协助位时，辅助干员的专精技能训练速度+30%
535,特种专精·α,训练室,SPECIAL,归溟幽灵鲨；罗宾,精0,30,进驻训练室协助位时，特种干员的专精技能训练速度+30%
536,战术研习,训练室,PIONEER,夜半,精2,30,进驻训练室协助位时，先锋干员的专精技能训练速度+30%，如果本次训练专精技能至1级，则训练速度额外+45%
537,先锋专精·α,训练室,PIONEER,凛御银灰,精0,30,进驻训练室协助位时，先锋干员的专精技能训练速度+30%
538,先驱者共识,训练室,PIONEER,凛御银灰,精2,30,进驻训练室协助位时，先锋干员的专精技能训练速度+30%，如果本次训练专精技能至3级，则训练速度额外+50%
539,信影流,训练室,WARRIOR,赤冬,精2,30,进驻训练室协助位时，近卫干员的专精技能训练速度+30%，如果本次训练专精技能至1级，则训练速度额外+45%
540,极地生存,训练室,TANK,极光,精2,30,进驻训练室协助位时，重装干员的专精技能训练速度+30%，如果本次训练专精技能至1级，则训练速度额外+45%
541,一知半解,训练室,CASTER,特米米,精2,30,进驻训练室协助位时，术师干员的专精技能训练速度+30%，如果本次训练专精技能至1级，则训练速度额外+45%
542,陷阱对焦,训练室,SPECIAL,罗宾,精2,30,进驻训练室协助位时，特种干员的专精技能训练速度+30%，如果本次训练专精技能至1级，则训练速度额外+45%
543,苦行,训练室,WARRIOR,燧石,精2,30,进驻训练室协助位时，近卫干员的专精技能训练速度+30%，如果本次训练专精技能至2级，则训练速度额外+45%
544,阵地经验,训练室,TANK,暴雨,精2,30,进驻训练室协助位时，重装干员的专精技能训练速度+30%，如果本次训练专精技能至2级，则训练速度额外+45%
545,拂弦,训练室,SNIPER,埃拉托,精2,30,进驻训练室协助位时，狙击干员的专精技能训练速度+30%，如果本次训练专精技能至2级，则训练速度额外+45%
546,博览群书,训练室,CASTER,薄绿,精2,30,进驻训练室协助位时，术师干员的专精技能训练速度+30%，如果本次训练专精技能至2级，则训练速度额外+45%
547,护理专精,训练室,MEDIC,濯尘芙蓉,精2,30,进驻训练室协助位时，医疗干员的专精技能训练速度+30%，如果本次训练专精技能至2级，则训练速度额外+45%
548,尽心尽力,训练室,WARRIOR,铸铁,精2,30,进驻训练室协助位时，近卫干员的专精技能训练速度+30%，如果本次训练专精技能至3级，则训练速度额外+45%
549,近卫专精·α,训练室,WARRIOR,哈蒂娅,精0,30,进驻训练室协助位时，近卫干员的专精技能训练速度+30%
550,勇气传承,训练室,WARRIOR,哈蒂娅,精2,30,进驻训练室协助位时，近卫干员的专精技能训练速度+30%，如果本次训练专精技能至3级，则训练速度额外+45%
551,以身作则,训练室,SNIPER,假日威龙陈,精2,30,进驻训练室协助位时，狙击干员的专精技能训练速度+30%，如果本次训练专精技能至1级，则训练速度额外+65%
552,实战指导,训练室,WARRIOR,百炼嘉维尔,精2,30,进驻训练室协助位时，近卫干员的专精技能训练速度+30%，如果本次训练专精技能至3级，则训练速度额外+65%
553,最终调试,训练室,SNIPER,玫拉,精2,30,进驻训练室协助位时，狙击干员的专精技能训练速度+30%，如果本次训练专精技能至3级，则训练速度额外+45%
554,伺机而动,训练室,SNIPER,W,精2,30,进驻训练室协助位时，狙击干员的专精技能训练速度+30%，如果本次训练专精技能至3级，则训练速度额外+65%
555,死焰指引,训练室,CASTER,死芒,精2,30,进驻训练室协助位时，术师干员的专精技能训练速度+30%，如果本次训练专精技能至3级，则训练速度额外+65%
556,同化,训练室,SUPPORT,浊心斯卡蒂,精2,30,进驻训练室协助位时，辅助干员的专精技能训练速度+30%，如果本次训练专精技能至3级，则训练速度额外+65%
557,阿戈尔战术,训练室,SPECIAL,归溟幽灵鲨,精2,30,进驻训练室协助位时，特种干员的专精技能训练速度+30%，如果本次训练专精技能至3级，则训练速度额外+65%
558,重装专精·α,训练室,TANK,暮落,精0,30,进驻训练室协助位时，重装干员的专精技能训练速度+30%
559,实战技巧：驭法铁卫,训练室,TANK,暮落,精2,30,进驻训练室协助位时，重装干员的专精技能训练速度+30%，如果训练位干员分支为驭法铁卫，则训练速度额外+45%
560,实战技巧：速射,训练室,SNIPER,寒芒克洛丝,精2,30,进驻训练室协助位时，狙击干员的专精技能训练速度+30%，如果训练位干员分支为速射手，则训练速度额外+45%
561,近卫专精·α,训练室,WARRIOR,达格达,精0,30,进驻训练室协助位时，近卫干员的专精技能训练速度+30%
562,实战技巧：斗士,训练室,WARRIOR,达格达,精2,30,进驻训练室协助位时，近卫干员的专精技能训练速度+30%，如果训练位干员分支为斗士，则训练速度额外+45%
563,近卫专精·α,训练室,WARRIOR,仇白,精0,30,进驻训练室协助位时，近卫干员的专精技能训练速度+30%
564,实战技巧：领主,训练室,WARRIOR,仇白,精2,30,进驻训练室协助位时，近卫干员的专精技能训练速度+30%，如果训练位干员分支为领主，则训练速度额外+45%
